item_id,source,migration_status,scene_types,prediction_available,lessons,levels,medium_primary_question_locations
coding.define-reach,content/curriculum/items/code-g4-define-reach.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q6; coding-a-block-of-your-own#q7
coding.define-repeat,content/curriculum/items/code-g4-define-repeat.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q2; coding-a-block-of-your-own#q3
coding.define-ways,content/curriculum/items/code-g4-define-ways.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q10
coding.define-where,content/curriculum/items/code-define-where.lumi,restore playback,maze,true,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q8
coding.define-written-out,content/curriculum/items/code-g4-define-written-out.lumi,static in prototype; no interaction to port,,false,coding-a-block-of-your-own,easy; hard; medium,coding-a-block-of-your-own#q4; coding-a-block-of-your-own#q5
coding.draws-what,content/curriculum/items/code-draws-what.lumi,restore playback,turtle,true,coding-drawing-with-a-program,easy; hard; medium,coding-drawing-with-a-program#q1
coding.exactly-lifts,content/curriculum/items/code-g3-exactly-lifts.lumi,restore hands-on controls,cups,false,coding-fewest-lifts,easy; hard; medium,coding-fewest-lifts#q10
coding.fewest-blocks,content/curriculum/items/code-g1-fewest-blocks.lumi,extend existing build UI,maze,false,coding-following-instructions,easy; hard; medium,coding-following-instructions#q10
coding.fewest-both,content/curriculum/items/code-g1-fewest-both.lumi,extend existing build UI,maze,false,coding-arrows-to-the-gem,easy; hard; medium,coding-arrows-to-the-gem#q10
coding.fewest-rounds,content/curriculum/items/code-g3-fewest-rounds.lumi,static in prototype; no interaction to port,,false,coding-feeling-for-walls,easy; hard; medium,coding-feeling-for-walls#q9
coding.fill-the-flash,content/curriculum/items/code-fill-the-flash.lumi,static in prototype; no interaction to port,,false,coding-a-message-in-flashes,easy; hard; medium,coding-a-message-in-flashes#q6
coding.find-both-numbers,content/curriculum/items/code-g3-find-both-numbers.lumi,static in prototype; no interaction to port,,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q10
coding.find-the-bug,content/curriculum/items/code-find-the-bug.lumi,restore playback,turtle,true,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q0; coding-finding-the-mistake#q3
coding.first-arrow,content/curriculum/items/code-g1-first-arrow.lumi,static in prototype; no interaction to port,,false,coding-arrows-to-the-gem,easy; hard; medium,coding-arrows-to-the-gem#q1; coding-arrows-to-the-gem#q2
coding.fix-number,content/curriculum/items/code-g1-fix-number.lumi,restore playback,maze,true,coding-one-card-is-wrong,easy; hard; medium,coding-one-card-is-wrong#q7; coding-one-card-is-wrong#q8
coding.flash-count,content/curriculum/items/code-flash-count.lumi,static in prototype; no interaction to port,,false,coding-a-message-in-flashes,easy; hard; medium,coding-a-message-in-flashes#q1
coding.flash-spells,content/curriculum/items/code-flash-spells.lumi,static in prototype; no interaction to port,,false,coding-a-message-in-flashes,easy; hard; medium,coding-a-message-in-flashes#q2; coding-a-message-in-flashes#q3
coding.forever-all-night,content/curriculum/items/code-forever-all-night.lumi,static in prototype; no interaction to port,,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q9
coding.forever-fewest-lines,content/curriculum/items/code-forever-fewest-lines.lumi,restore playback,pixels,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q10
coding.forever-how-many,content/curriculum/items/code-forever-how-many.lumi,static in prototype; no interaction to port,,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q4; coding-a-pattern-that-never-ends#q5
coding.forever-lamp-night,content/curriculum/items/code-forever-lamp-night.lumi,static in prototype; no interaction to port,,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q8
coding.forever-light-at-step,content/curriculum/items/code-forever-light-at-step.lumi,static in prototype; no interaction to port,,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q2; coding-a-pattern-that-never-ends#q3
coding.forever-next-light,content/curriculum/items/code-forever-next-light.lumi,restore playback,pixels,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q1
coding.forever-which-program,content/curriculum/items/code-forever-which-program.lumi,restore playback,pixels,false,coding-a-pattern-that-never-ends,easy; hard; medium,coding-a-pattern-that-never-ends#q6; coding-a-pattern-that-never-ends#q7
coding.fork-way,content/curriculum/items/code-g3-fork-way.lumi,restore playback,fork,false,coding-a-program-that-decides,easy; hard; medium,coding-a-program-that-decides#q1
coding.furthest-right,content/curriculum/items/code-g1-furthest-right.lumi,restore playback,stage,false,coding-one-step-at-a-time,easy; hard; medium,coding-one-step-at-a-time#q9
coding.gem-first,content/curriculum/items/code-g1-gem-first.lumi,static in prototype; no interaction to port,,false,coding-arrows-to-the-gem,easy; hard; medium,coding-arrows-to-the-gem#q9
coding.gems-picked,content/curriculum/items/code-g1-gems-picked.lumi,restore playback,maze,true,coding-arrows-to-the-gem,easy; hard; medium,coding-arrows-to-the-gem#q3; coding-arrows-to-the-gem#q4
coding.hundred-start,content/curriculum/items/code-g1-hundred-start.lumi,static in prototype; no interaction to port,,false,coding-following-instructions,easy; hard; medium,coding-following-instructions#q9
coding.hundred-steps,content/curriculum/items/code-g1-hundred-steps.lumi,static in prototype; no interaction to port,,false,coding-following-instructions,easy; hard; medium,coding-following-instructions#q5; coding-following-instructions#q6
coding.if-turns,content/curriculum/items/code-if-turns.lumi,restore playback,maze,true,coding-feeling-for-walls,easy; hard; medium,coding-feeling-for-walls#q5
coding.lamp-flashed-twice,content/curriculum/items/code-lamp-flashed-twice.lumi,static in prototype; no interaction to port,,false,coding-a-message-in-flashes,easy; hard; medium,coding-a-message-in-flashes#q7
coding.lamprocks-sandwich-steps,content/curriculum/items/code-lamprocks-sandwich-steps.lumi,static in prototype; no interaction to port,,false,coding-instructions-for-a-snack,easy; hard; medium,coding-instructions-for-a-snack#q8
coding.lamps-bigger,content/curriculum/items/code-g2-lamps-bigger.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q8
coding.lamps-biggest,content/curriculum/items/code-lamps-biggest.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q3
coding.lamps-exactly-two,content/curriculum/items/code-g2-lamps-exactly-two.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q10
coding.lamps-how-many-lit,content/curriculum/items/code-g2-lamps-how-many-lit.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q4; coding-lamps-that-count#q5
coding.lamps-read,content/curriculum/items/code-lamps-read.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q1; coding-lamps-that-count#q2
coding.lamps-shift,content/curriculum/items/code-g2-lamps-shift.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q9
coding.lamps-switch-off,content/curriculum/items/code-g2-lamps-switch-off.lumi,restore hands-on controls,lamps,false,coding-lamps-that-count,easy; hard; medium,coding-lamps-that-count#q6; coding-lamps-that-count#q7
coding.line-total,content/curriculum/items/code-line-total.lumi,restore playback,maze,true,coding-one-step-at-a-time,easy; hard; medium,coding-one-step-at-a-time#q1
coding.missing-side,content/curriculum/items/code-g3-missing-side.lumi,static in prototype; no interaction to port,,false,coding-square-rectangle-staircase,easy; hard; medium,coding-square-rectangle-staircase#q6; coding-square-rectangle-staircase#q7
coding.nested-back,content/curriculum/items/code-g4-nested-back.lumi,restore playback,turtle,true,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q6; coding-a-repeat-inside-a-repeat#q7
coding.nested-choose,content/curriculum/items/code-g4-nested-choose.lumi,static in prototype; no interaction to port,,false,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q4; coding-a-repeat-inside-a-repeat#q5
coding.nested-compare,content/curriculum/items/code-g4-nested-compare.lumi,static in prototype; no interaction to port,,false,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q9
coding.nested-dance,content/curriculum/items/code-g4-nested-dance.lumi,static in prototype; no interaction to port,,false,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q2; coding-a-repeat-inside-a-repeat#q3
coding.nested-repeat,content/curriculum/items/code-nested-repeat.lumi,static in prototype; no interaction to port,,false,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q1
coding.nested-turtle,content/curriculum/items/code-nested-turtle.lumi,restore playback,turtle,true,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q8
coding.nested-ways,content/curriculum/items/code-g4-nested-ways.lumi,static in prototype; no interaction to port,,false,coding-a-repeat-inside-a-repeat,easy; hard; medium,coding-a-repeat-inside-a-repeat#q10
coding.net-bridge,content/curriculum/items/code-net-bridge.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q1
coding.net-design,content/curriculum/items/code-g4-net-design.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q10
coding.net-first-two,content/curriculum/items/code-g4-net-first-two.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q2; coding-a-sorting-network#q3
coding.net-not-sorted,content/curriculum/items/code-g4-net-not-sorted.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q6; coding-a-sorting-network#q7; coding-a-sorting-network#q8
coding.net-out,content/curriculum/items/code-net-out.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q4; coding-a-sorting-network#q5
coding.net-sorted-or-not,content/curriculum/items/code-g4-net-sorted-or-not.lumi,restore hands-on controls,sortnet,false,coding-a-sorting-network,easy; hard; medium,coding-a-sorting-network#q9
coding.new-pattern,content/curriculum/items/code-new-pattern.lumi,static in prototype; no interaction to port,,false,coding-a-message-in-flashes,easy; hard; medium,coding-a-message-in-flashes#q10
coding.number-line-robot,content/curriculum/items/code-g1-number-line-robot.lumi,static in prototype; no interaction to port,,false,coding-following-instructions,easy; hard; medium,coding-following-instructions#q1; coding-following-instructions#q2
coding.number-to-flag,content/curriculum/items/code-g1-number-to-flag.lumi,restore playback,maze,true,coding-following-instructions,easy; hard; medium,coding-following-instructions#q7
coding.one-gem-most,content/curriculum/items/code-g1-one-gem-most.lumi,restore playback,maze,true,coding-one-step-at-a-time,easy; hard; medium,coding-one-step-at-a-time#q8
coding.one-number-wrong,content/curriculum/items/code-g4-one-number-wrong.lumi,restore playback,turtle,true,coding-writing-for-someone-else,easy; hard; medium,coding-writing-for-someone-else#q5; coding-writing-for-someone-else#q6
coding.opposite-sides-bug,content/curriculum/items/code-g2-opposite-sides-bug.lumi,restore playback,turtle,true,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q9
coding.order-cards,content/curriculum/items/code-order-cards.lumi,extend existing build UI,maze,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q4; coding-saying-it-in-order#q5
coding.order-cards-gem,content/curriculum/items/code-g1-order-cards-gem.lumi,extend existing build UI,maze,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q7; coding-saying-it-in-order#q8
coding.order-morning,content/curriculum/items/code-order-morning.lumi,static in prototype; no interaction to port,,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q1
coding.order-toast,content/curriculum/items/code-order-toast.lumi,static in prototype; no interaction to port,,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q2
coding.orders-count,content/curriculum/items/code-g1-orders-count.lumi,static in prototype; no interaction to port,,false,coding-saying-it-in-order,easy; hard; medium,coding-saying-it-in-order#q10
coding.orders-one-pass,content/curriculum/items/code-g3-orders-one-pass.lumi,restore hands-on controls,sortcards,false,coding-sorting-cards,easy; hard; medium,coding-sorting-cards#q10
coding.param-bigger-square,content/curriculum/items/code-param-bigger-square.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q2; coding-a-block-with-a-number#q3
coding.param-fewest-stairs,content/curriculum/items/code-param-fewest-stairs.lumi,restore playback,turtle,true,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q10
coding.param-fill-number,content/curriculum/items/code-param-fill-number.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q4
coding.param-hop-does,content/curriculum/items/code-param-hop-does.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q1
coding.param-perimeter,content/curriculum/items/code-param-perimeter.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q6; coding-a-block-with-a-number#q7
coding.param-trace-two,content/curriculum/items/code-param-trace-two.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q5
coding.param-which-uses,content/curriculum/items/code-param-which-uses.lumi,static in prototype; no interaction to port,,false,coding-a-block-with-a-number,easy; hard; medium,coding-a-block-with-a-number#q9
coding.pass-before,content/curriculum/items/code-g3-pass-before.lumi,restore hands-on controls,sortcards,false,coding-sorting-cards,easy; hard; medium,coding-sorting-cards#q9
coding.passes-needed,content/curriculum/items/code-g3-passes-needed.lumi,restore hands-on controls,sortcards,false,coding-sorting-cards,easy; hard; medium,coding-sorting-cards#q5; coding-sorting-cards#q6
coding.perimeter-repeat,content/curriculum/items/code-g3-perimeter-repeat.lumi,static in prototype; no interaction to port,,false,coding-square-rectangle-staircase,easy; hard; medium,coding-square-rectangle-staircase#q4; coding-square-rectangle-staircase#q5
coding.pixel-count,content/curriculum/items/code-pixel-count.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q3; coding-colour-by-code#q4
coding.pixel-fewest-lines,content/curriculum/items/code-g3-pixel-fewest-lines.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q10
coding.pixel-missing-number,content/curriculum/items/code-g1-pixel-missing-number.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q1
coding.pixel-most-red,content/curriculum/items/code-g1-pixel-most-red.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q7; coding-colour-by-code#q8
coding.pixel-repeat,content/curriculum/items/code-pixel-repeat.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q2; coding-a-picture-with-a-repeat#q3
coding.pixel-repeat-count,content/curriculum/items/code-g3-pixel-repeat-count.lumi,static in prototype; no interaction to port,,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q6; coding-a-picture-with-a-repeat#q7
coding.pixel-row,content/curriculum/items/code-pixel-row.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q2
coding.pixel-row-colour,content/curriculum/items/code-g3-pixel-row-colour.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q8
coding.pixel-rows,content/curriculum/items/code-pixel-rows.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q4
coding.pixel-smallest-repeat,content/curriculum/items/code-g3-pixel-smallest-repeat.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q9
coding.pixel-spoilt-row,content/curriculum/items/code-g1-pixel-spoilt-row.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q9
coding.pixel-trunk-row,content/curriculum/items/code-g3-pixel-trunk-row.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q5
coding.pixel-ways,content/curriculum/items/code-g1-pixel-ways.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q10
coding.pixel-white,content/curriculum/items/code-g1-pixel-white.lumi,restore playback,pixels,false,coding-colour-by-code,easy; hard; medium,coding-colour-by-code#q5; coding-colour-by-code#q6
coding.read-someone-else,content/curriculum/items/code-read-someone-else.lumi,restore playback,maze,true,coding-reading-someone-elses,easy; hard; medium,coding-reading-someone-elses#q2; coding-reading-someone-elses#q3
coding.rectangle-bug,content/curriculum/items/code-g3-rectangle-bug.lumi,restore playback,turtle,true,coding-square-rectangle-staircase,easy; hard; medium,coding-square-rectangle-staircase#q9
coding.rectangle-in-five,content/curriculum/items/code-g2-rectangle-in-five.lumi,extend existing build UI,turtle,false,coding-drawing-with-a-program,easy; hard; medium,coding-drawing-with-a-program#q10
coding.rectangles-count,content/curriculum/items/code-g3-rectangles-count.lumi,static in prototype; no interaction to port,,false,coding-square-rectangle-staircase,easy; hard; medium,coding-square-rectangle-staircase#q10
coding.refactor-fewest,content/curriculum/items/code-g4-refactor.lumi,extend existing build UI,turtle,false,coding-debugging-puzzles,easy; hard; medium,coding-debugging-puzzles#q10
coding.repeat-after-round,content/curriculum/items/code-g3-repeat-after-round.lumi,restore playback,maze,true,coding-repeat-with-a-count,easy; hard; medium,coding-repeat-with-a-count#q6; coding-repeat-with-a-count#q7
coding.repeat-body,content/curriculum/items/code-g2-repeat-body.lumi,restore playback,stage,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q6; coding-doing-it-again#q7
coding.repeat-compare,content/curriculum/items/code-g2-repeat-compare.lumi,static in prototype; no interaction to port,,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q9
coding.repeat-count-flag,content/curriculum/items/code-g2-repeat-count-flag.lumi,restore playback,maze,true,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q4; coding-doing-it-again#q5
coding.repeat-how-many,content/curriculum/items/code-g3-repeat-how-many.lumi,restore playback,maze,true,coding-repeat-with-a-count,easy; hard; medium,coding-repeat-with-a-count#q4; coding-repeat-with-a-count#q5
coding.repeat-lines,content/curriculum/items/code-repeat-lines.lumi,static in prototype; no interaction to port,,false,coding-repeat-with-a-count,easy; hard; medium,coding-repeat-with-a-count#q8
coding.repeat-staircase,content/curriculum/items/code-repeat-staircase.lumi,restore playback,turtle,true,coding-repeat-with-a-count,easy; hard; medium,coding-repeat-with-a-count#q2; coding-repeat-with-a-count#q3
coding.repeat-then,content/curriculum/items/code-g2-repeat-then.lumi,restore playback,stage,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q2; coding-doing-it-again#q3
coding.repeat-total,content/curriculum/items/code-repeat-total.lumi,static in prototype; no interaction to port,,false,coding-doing-it-again,easy; hard; medium,coding-doing-it-again#q1
coding.robot-across,content/curriculum/items/code-robot-across.lumi,restore playback,maze,true,coding-following-instructions,easy; medium,coding-following-instructions#q3; coding-following-instructions#q4
coding.robot-back,content/curriculum/items/code-robot-back.lumi,restore playback,maze,true,coding-following-instructions,hard; medium,coding-following-instructions#q8
coding.robot-stops-short,content/curriculum/items/code-g2-robot-stops-short.lumi,restore playback,maze,true,coding-finding-the-mistake,easy; hard; medium,coding-finding-the-mistake#q4; coding-finding-the-mistake#q5
coding.row-red-count,content/curriculum/items/code-g3-row-red-count.lumi,restore playback,pixels,false,coding-a-picture-with-a-repeat,easy; hard; medium,coding-a-picture-with-a-repeat#q1
